CountryName,CountryCode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,66.89410363,45.3327843,66.04767967,64.56454603,27.61873448,,,,,53.52159553,47.0579653,51.52833731,67.38697656,66.05392518,62.28471837,41.0199237,58.77054327,55.23746897,57.66015966,53.11495649,56.64467621,54.96603102
Albania,ALB,41.59305836,65.47386589,43.27781274,55.58059652,46.64319068,35.66800719,28.4439954,19.93237476,,18.86389245,,9.966187382,14.60020062,,,,,,,,,
Algeria,DZA,,,,,,,,,,22.54211568,36.67700329,31.15180879,,12.5759283,,,,,,,,
Angola,AGO,36.9898486,27.61873448,12.5759283,,16.25415153,,,,,,,31.98978395,25.1518566,27.61873448,6.287964149,27.61873448,23.26823228,12.5759283,,18.86389245,,
Argentina,ARG,,,,,,,,,,,,14.60020062,,,,,,,,,,
Armenia,ARM,,,,,,,,,,32.25274772,6.287964149,29.89856215,9.966187382,37.58492187,40.61667444,40.40812239,40.51299772,30.54681033,19.93237476,12.5759283,,24.566388
Azerbaijan,AZE,,,,,,,,,,27.61873448,50.4094031,55.40055857,42.96496744,34.73195955,34.92705556,51.71222769,39.4053291,39.52238381,9.966187382,32.99878006,26.22033891,25.1518566
Bahrain,BHR,,,,,,,,,,,14.60020062,9.966187382,,,,,,,,,,
Belarus,BLR,,,,,,,,,,26.22033891,24.566388,62.39752747,38.2777481,38.79626721,58.881343,55.31938027,32.25274772,48.8875823,42.72304338,45.20935906,23.26823228,38.00693352
Bhutan,BTN,,,,,,,,,,,,,,,,,9.966187382,,56.93929131,86.24278019,85.47695762,87.2302775
Bosnia and Herzegovina,BIH,,,,68.42486319,60.50311688,62.54579005,43.65428231,90.43615005,54.26108506,90.98898619,68.64335243,86.98133815,73.97969719,36.51643955,49.86819205,37.29226376,25.1518566,,,,,
Bulgaria,BGR,52.66194769,57.80080766,43.87288602,31.98978395,,9.966187382,,,,,,,,,,,,,,,,
Burundi,BDI,,,,9.966187382,,18.86389245,18.86389245,31.71896938,28.83007983,49.0517789,46.31916999,26.71081591,37.43977294,25.1518566,50.98611108,48.67806687,55.73768469,76.39917048,72.28866487,60.19875029,36.01695847,21.75278199
Cambodia,KHM,69.67578335,32.99878006,44.89324294,,16.25415153,,,,,,,28.4439954,12.5759283,17.6525471,9.966187382,19.93237476,19.93237476,24.566388,18.86389245,24.566388,19.93237476,14.60020062
Cameroon,CMR,9.966187382,,,,,,,26.71081591,24.566388,19.93237476,17.6525471,14.60020062,16.25415153,16.25415153,,16.25415153,30.54681033,14.60020062,,12.5759283,16.25415153,
Central African Republic,CAF,,,,,,,,,,,,,,,28.83007983,,28.4439954,24.566388,36.51643955,36.9898486,34.53257538,47.20874353
Chad,TCD,,,,,,,,34.53257538,33.68809493,28.04074614,,,,,12.5759283,,12.5759283,0,28.4439954,16.25415153,30.2284754,29.20040123
China,CHN,35.84416058,,,,,,,,,,,22.54211568,19.93237476,19.93237476,9.966187382,23.26823228,27.61873448,29.89856215,14.60020062,36.18652629,38.79626721,30.2284754
